TrainNo,Mon,Tue,Wed,Thu,Fri,Sat,Sun
300,1,1,1,1,1,1,1
802,1,1,1,1,1,1,1
502,1,1,1,1,1,1,1
1202,1,1,1,1,1,0,0
1602,1,1,1,1,1,0,0
1302,1,1,1,1,1,0,0
1504,1,1,1,1,1,0,0
204,1,1,1,1,1,1,1
606,1,1,1,1,1,1,1
1508,1,1,1,1,1,1,0
206,1,1,1,1,1,1,1
806,1,1,1,1,1,1,1
610,1,1,1,1,1,1,1
108,1,1,1,1,1,1,1
612,1,1,1,1,1,1,1
1514,1,1,1,1,1,0,0
810,1,1,1,1,1,1,1
616,1,1,1,1,1,1,1
112,1,1,1,1,1,1,1
618,1,1,1,1,1,1,1
814,1,1,1,1,1,1,1
116,1,1,1,1,1,1,1
624,1,1,1,1,1,1,1
818,1,1,1,1,1,1,1
628,1,1,1,1,1,1,1
120,1,1,1,1,1,1,1
630,1,1,1,1,1,1,1
822,1,1,1,1,1,1,1
124,1,1,1,1,1,1,1
636,1,1,1,1,1,1,1
826,1,1,1,1,1,1,1
128,1,1,1,1,1,1,1
642,1,1,1,1,1,1,1
830,1,1,1,1,1,1,1
132,1,1,1,1,1,1,1
648,1,1,1,1,1,1,1
834,1,1,1,1,1,1,1
136,1,1,1,1,1,1,1
654,1,1,1,1,1,1,1
838,1,1,1,1,1,1,1
140,1,1,1,1,1,1,1
660,1,1,1,1,1,1,1
242,1,1,1,1,1,1,1
842,1,1,1,1,1,1,1
664,1,1,1,1,1,1,1
144,1,1,1,1,1,1,1
666,1,1,1,1,1,1,1
846,1,1,1,1,1,1,1
670,1,1,1,1,1,1,1
148,1,1,1,1,1,1,1
672,1,1,1,1,1,1,1
850,1,1,1,1,1,1,1
676,1,1,1,1,1,1,1
152,1,1,1,1,1,1,1
678,1,1,1,1,1,1,1
854,1,1,1,1,1,1,1
156,1,1,1,1,1,1,1
684,1,1,1,1,1,1,1
858,1,1,1,1,1,1,1
160,1,1,1,1,1,1,1
690,1,1,1,1,1,1,1
862,1,1,1,1,1,1,1
696,1,1,1,1,1,1,1
294,1,1,1,1,1,1,1
598,1,1,1,1,1,1,1
803,1,1,1,1,1,1,1
583,1,1,1,1,1,1,1
203,1,1,1,1,1,1,1
603,1,1,1,1,1,1,1
805,1,1,1,1,1,1,1
109,1,1,1,1,1,1,1
1505,1,1,1,1,1,1,0
609,1,1,1,1,1,1,1
205,1,1,1,1,1,1,1
809,1,1,1,1,1,1,1
613,1,1,1,1,1,1,1
113,1,1,1,1,1,1,1
615,1,1,1,1,1,1,1
1307,0,1,1,1,0,0,0
813,1,1,1,1,1,1,1
619,1,1,1,1,1,1,1
117,1,1,1,1,1,1,1
621,1,1,1,1,1,1,1
817,1,1,1,1,1,1,1
625,1,1,1,1,1,1,1
121,1,1,1,1,1,1,1
627,1,1,1,1,1,1,1
821,1,1,1,1,1,1,1
125,1,1,1,1,1,1,1
633,1,1,1,1,1,1,1
825,1,1,1,1,1,1,1
129,1,1,1,1,1,1,1
639,1,1,1,1,1,1,1
829,1,1,1,1,1,1,1
133,1,1,1,1,1,1,1
645,1,1,1,1,1,1,1
833,1,1,1,1,1,1,1
137,1,1,1,1,1,1,1
651,1,1,1,1,1,1,1
837,1,1,1,1,1,1,1
141,1,1,1,1,1,1,1
657,1,1,1,1,1,1,1
841,1,1,1,1,1,1,1
