TrainNo,Direction,StartingStationID,EndingStationID,TripLine,TrainTypeName
1,1,1000,1001,山線,莒光
1007,1,900,1070,不經山海線,區間快
101,1,3300,5050,山線,自強
102,0,3470,930,山線,自強
103,1,930,5050,海線,自強
104,0,3360,930,山線,自強
105,1,900,5000,山線,自強
106,0,3360,930,山線,自強
108,0,5050,930,山線,自強
110,0,5050,980,山線,普悠瑪
1104,0,930,900,不經山海線,區間
1105,1,1080,3160,山線,區間
1106,0,1040,900,不經山海線,區間
1107,1,930,3160,山線,區間
1108,0,930,900,不經山海線,區間
1109,1,1150,1210,不經山海線,區間
111,1,980,5120,山線,普悠瑪
1110,0,980,900,不經山海線,區間
1112,0,1210,900,不經山海線,區間
1117,1,900,3160,山線,區間
112,0,5050,900,海線,自強
1120,0,1150,900,不經山海線,區間
1121,1,900,1210,不經山海線,區間
1122,0,1210,900,不經山海線,區間
1126,0,1150,900,不經山海線,區間
1127,1,900,3160,山線,區間
1128,0,1210,900,不經山海線,區間
1129,1,900,1150,不經山海線,區間
113,1,930,5000,山線,自強
1130,0,1160,990,不經山海線,區間
1131,1,900,1210,不經山海線,區間
1132,0,1210,900,不經山海線,區間
1134,0,1210,900,不經山海線,區間
1135,1,900,1150,不經山海線,區間
1136,0,1150,7360,不經山海線,區間
1137,1,900,3160,山線,區間
1138,0,3190,900,山線,區間
114,0,5050,930,山線,自強
1140,0,1040,960,不經山海線,區間
1141,1,900,1210,不經山海線,區間
1147,1,900,3160,山線,區間
1148,0,3160,7360,山線,區間
115,1,900,5000,山線,自強
1151,1,900,1210,不經山海線,區間
1152,0,1210,7360,不經山海線,區間
1157,1,900,3160,山線,區間
1158,0,3160,900,山線,區間
116,0,5000,930,山線,自強
1161,1,900,1210,不經山海線,區間
1162,0,1210,900,不經山海線,區間
1165,1,900,930,不經山海線,區間
1167,1,900,1150,不經山海線,區間
1168,0,3160,900,山線,區間
1169,1,1150,3160,山線,區間
117,1,900,5050,山線,自強
1171,1,7360,1150,不經山海線,區間
1172,0,1210,900,不經山海線,區間
1177,1,7360,3160,山線,區間
1178,0,3160,900,山線,區間
118,0,5050,930,山線,自強
1181,1,900,1210,不經山海線,區間
1182,0,1210,900,不經山海線,區間
1187,1,900,3160,山線,區間
1188,0,3160,900,山線,區間
119,1,930,3360,海線,自強
1190,0,930,900,不經山海線,區間
1191,1,900,1210,不經山海線,區間
1192,0,1210,900,不經山海線,區間
1197,1,900,3160,山線,區間
1198,0,3160,900,山線,區間
1200,0,1040,900,不經山海線,區間
1201,1,900,1210,不經山海線,區間
1202,0,1150,900,不經山海線,區間
1207,1,900,3160,山線,區間
1208,0,3160,900,山線,區間
121,1,930,5000,山線,自強
1211,1,900,1210,不經山海線,區間
1212,0,1210,900,不經山海線,區間
1215,1,900,930,不經山海線,區間
1217,1,900,3160,山線,區間
1218,0,3160,900,山線,區間
122,0,5050,900,山線,自強
1220,0,1040,900,不經山海線,區間
1221,1,900,1210,不經山海線,區間
1222,0,1210,900,不經山海線,區間
1225,1,900,930,不經山海線,區間
1226,0,1040,900,不經山海線,區間
1227,1,900,3160,山線,區間
1228,0,3160,900,山線,區間
123,1,930,5000,山線,自強
1231,1,900,1210,不經山海線,區間
1232,0,1210,900,不經山海線,區間
1235,1,900,1210,不經山海線,區間
1237,1,900,3160,山線,區間
1238,0,3160,900,山線,區間
1239,1,930,1150,不經山海線,區間
1241,1,900,1210,不經山海線,區間
1242,0,1210,900,不經山海線,區間
1247,1,900,3160,山線,區間
1248,0,3160,900,山線,區間
1249,1,900,930,不經山海線,區間
125,1,930,5000,山線,自強
1251,1,900,1210,不經山海線,區間
1252,0,1210,900,不經山海線,區間
1255,1,990,1150,不經山海線,區間
1257,1,900,3190,山線,區間
1258,0,3160,900,山線,區間
126,0,3480,930,海線,自強
1261,1,900,1100,不經山海線,區間
1262,0,1210,900,不經山海線,區間
1263,1,900,1210,不經山海線,區間
1265,1,1210,3160,山線,區間
1267,1,900,3160,山線,區間
1268,0,3160,900,山線,區間
1269,1,1150,1210,不經山海線,區間
127,1,980,5050,山線,普悠瑪
1271,1,900,1150,不經山海線,區間
1272,0,1210,900,不經山海線,區間
1273,1,900,1210,不經山海線,區間
1276,0,1040,900,不經山海線,區間
1278,0,3160,900,山線,區間
128,0,5000,900,山線,自強
1280,0,1100,7360,不經山海線,區間
1281,1,900,1210,不經山海線,區間
1282,0,1210,930,不經山海線,區間
1283,1,900,1120,不經山海線,區間
1287,1,900,1100,不經山海線,區間
1289,1,900,1040,不經山海線,區間
129,1,900,5120,山線,自強
1295,1,900,930,不經山海線,區間
1298,0,3160,980,山線,區間
134,0,5000,900,山線,自強
135,1,930,5000,山線,自強
136,0,5120,980,山線,普悠瑪
138,0,5000,930,山線,自強
139,1,930,5050,山線,自強
140,0,3360,930,海線,自強
141,1,930,5050,山線,自強
142,0,5050,930,山線,自強
143,1,930,5050,山線,自強
144,0,5000,900,山線,自強
145,1,930,5050,海線,自強
146,0,5050,930,海線,自強
147,1,930,3360,山線,自強
149,1,900,5050,山線,自強
150,0,5000,930,山線,自強
152,0,5000,930,山線,自強
155,1,930,3360,山線,自強
156,0,5000,4080,不經山海線,自強
159,1,930,3360,海線,自強
160,0,3420,930,海線,自強
167,1,3360,5050,不經山海線,自強
168,0,5120,3360,不經山海線,自強
170,0,4080,7000,山線,自強
1701,1,1194,1210,不經山海線,區間
1702,0,1210,1194,不經山海線,區間
1703,1,1194,1210,不經山海線,區間
1704,0,1210,1194,不經山海線,區間
1705,1,1194,1210,不經山海線,區間
1706,0,1210,1194,不經山海線,區間
1707,1,1194,1210,不經山海線,區間
1708,0,1210,1194,不經山海線,區間
1711,1,1194,1210,不經山海線,區間
1712,0,1210,1194,不經山海線,區間
1713,1,1194,1210,不經山海線,區間
1714,0,1210,1194,不經山海線,區間
1715,1,1194,1210,不經山海線,區間
1716,0,1210,1194,不經山海線,區間
1717,1,1194,1210,不經山海線,區間
1718,0,1210,1194,不經山海線,區間
172,0,5050,7000,山線,自強
1721,1,1194,1210,不經山海線,區間
1722,0,1210,1194,不經山海線,區間
1723,1,1194,1210,不經山海線,區間
1724,0,1210,1194,不經山海線,區間
1725,1,1194,1210,不經山海線,區間
1726,0,1210,1194,不經山海線,區間
1727,1,1194,1210,不經山海線,區間
1728,0,1210,1194,不經山海線,區間
1731,1,1194,1210,不經山海線,區間
1732,0,1210,1194,不經山海線,區間
1733,1,1194,1210,不經山海線,區間
1734,0,1210,1194,不經山海線,區間
1735,1,1194,1210,不經山海線,區間
1736,0,1210,1194,不經山海線,區間
1737,1,1194,1210,不經山海線,區間
1738,0,1210,1194,不經山海線,區間
1741,1,1194,1210,不經山海線,區間
1742,0,1210,1194,不經山海線,區間
1743,1,1194,1210,不經山海線,區間
1744,0,1210,1194,不經山海線,區間
1745,1,1194,1210,不經山海線,區間
1746,0,1210,1194,不經山海線,區間
1747,1,1194,1210,不經山海線,區間
1748,0,1210,1194,不經山海線,區間
175,1,7000,5050,山線,自強
1751,1,1194,1210,不經山海線,區間
1752,0,1210,1194,不經山海線,區間
1753,1,1194,1210,不經山海線,區間
1754,0,1210,1194,不經山海線,區間
1755,1,1194,1210,不經山海線,區間
1756,0,1210,1194,不經山海線,區間
1757,1,1194,1210,不經山海線,區間
1758,0,1210,1194,不經山海線,區間
176,0,5050,7360,山線,自強
1761,1,1194,1210,不經山海線,區間
1762,0,1210,1194,不經山海線,區間
1763,1,1194,1210,不經山海線,區間
1764,0,1210,1194,不經山海線,區間
1765,1,1194,1210,不經山海線,區間
1766,0,1210,1194,不經山海線,區間
1767,1,1194,1210,不經山海線,區間
1768,0,1210,1194,不經山海線,區間
177,1,7000,3480,山線,自強
1771,1,1194,1210,不經山海線,區間
1772,0,1210,1194,不經山海線,區間
1773,1,1194,1210,不經山海線,區間
1774,0,1210,1194,不經山海線,區間
1775,1,1194,1210,不經山海線,區間
1776,0,1210,1194,不經山海線,區間
1777,1,1194,1210,不經山海線,區間
1778,0,1210,1194,不經山海線,區間
178,0,5000,7000,山線,自強
1781,1,1194,1210,不經山海線,區間
1782,0,1210,1194,不經山海線,區間
1783,1,1194,1210,不經山海線,區間
1784,0,1210,1194,不經山海線,區間
1785,1,1194,1210,不經山海線,區間
1786,0,1210,1194,不經山海線,區間
1801,1,1208,1210,不經山海線,區間
1802,0,1210,1208,不經山海線,區間
1803,1,1208,1210,不經山海線,區間
1804,0,1210,1208,不經山海線,區間
1805,1,1208,1193,不經山海線,區間
1806,0,1210,1208,不經山海線,區間
1807,1,1208,1193,不經山海線,區間
1808,0,1193,1208,不經山海線,區間
181,1,7000,5000,山線,自強
1811,1,1208,1193,不經山海線,區間
1812,0,1193,1208,不經山海線,區間
1813,1,1208,1193,不經山海線,區間
1814,0,1193,1208,不經山海線,區間
1815,1,1208,1193,不經山海線,區間
1816,0,1193,1208,不經山海線,區間
1817,1,1208,1210,不經山海線,區間
1818,0,1193,1208,不經山海線,區間
1819,1,1208,1193,不經山海線,區間
1820,0,1210,1208,不經山海線,區間
1821,1,1208,1193,不經山海線,區間
1822,0,1193,1208,不經山海線,區間
1823,1,1208,1193,不經山海線,區間
1824,0,1193,1208,不經山海線,區間
1825,1,1208,1193,不經山海線,區間
1826,0,1193,1208,不經山海線,區間
1827,1,1208,1193,不經山海線,區間
1828,0,1193,1208,不經山海線,區間
1831,1,1208,1210,不經山海線,區間
1832,0,1193,1208,不經山海線,區間
1833,1,1208,1193,不經山海線,區間
1834,0,1210,1208,不經山海線,區間
1835,1,1208,1193,不經山海線,區間
1836,0,1193,1208,不經山海線,區間
1837,1,1208,1193,不經山海線,區間
1838,0,1193,1208,不經山海線,區間
1839,1,1208,1210,不經山海線,區間
1841,1,1208,1210,不經山海線,區間
1842,0,1210,1208,不經山海線,區間
1843,1,1208,1210,不經山海線,區間
1844,0,1210,1203,不經山海線,區間
1845,1,1208,1210,不經山海線,區間
1846,0,1210,1208,不經山海線,區間
1847,1,1208,1210,不經山海線,區間
1848,0,1193,1208,不經山海線,區間
185,1,7000,5050,海線,自強
2,0,1000,1001,山線,莒光
2003,1,3360,4080,不經山海線,區間快
2004,0,4080,3300,山線,區間快
2008,0,3360,900,海線,區間快
2011,1,930,3360,山線,區間快
2015,1,1210,3360,山線,區間快
2016,0,3360,3230,山線,區間快
2017,1,3230,3390,山線,區間快
202,0,1040,7000,不經山海線,普悠瑪
2021,1,3230,3360,山線,區間快
2023,1,3300,3430,山線,區間快
2027,1,3300,4080,山線,區間快
2033,1,930,3360,海線,區間快
2036,0,3360,990,山線,區間快
204,0,1040,7000,不經山海線,自強
2042,0,3390,930,山線,區間快
2046,0,3360,930,海線,區間快
206,0,1040,7000,不經山海線,太魯閣
207,1,6220,1040,不經山海線,普悠瑪
208,0,1040,7000,不經山海線,自強
2101,1,3300,3420,山線,區間
2103,1,1210,4080,山線,區間
211,1,7000,1040,不經山海線,普悠瑪
2113,1,1150,4080,山線,區間
2114,0,3360,900,山線,區間
2115,1,3230,3360,山線,區間
2116,0,3360,3300,山線,區間
212,0,1040,7000,不經山海線,自強
2120,0,3430,900,山線,區間
2122,0,3360,3220,山線,區間
2123,1,1150,4080,山線,區間
2124,0,4080,900,山線,區間
2128,0,4080,3180,山線,區間
213,1,7000,1040,不經山海線,太魯閣
2131,1,3230,3360,山線,區間
2133,1,900,4080,山線,區間
2134,0,4080,900,山線,區間
2138,0,4120,3220,山線,區間
2143,1,900,4080,山線,區間
2144,0,4080,900,山線,區間
2146,0,3360,3300,山線,區間
2149,1,3300,3360,山線,區間
2153,1,900,4080,山線,區間
2154,0,4080,900,山線,區間
2163,1,900,4080,山線,區間
2164,0,4120,7360,山線,區間
2166,0,3360,3300,山線,區間
217,1,7000,1040,不經山海線,普悠瑪
2173,1,900,4080,山線,區間
2174,0,4080,7360,山線,區間
218,0,1040,7000,不經山海線,普悠瑪
2183,1,900,4080,山線,區間
2184,0,4080,900,山線,區間
2190,0,3360,3230,山線,區間
2191,1,3230,3360,山線,區間
2193,1,900,4080,山線,區間
2194,0,4080,900,山線,區間
2203,1,900,4080,山線,區間
2204,0,4080,900,山線,區間
221,1,7000,1040,不經山海線,自強
2213,1,900,4080,山線,區間
2214,0,4080,900,山線,區間
222,0,1040,6180,不經山海線,普悠瑪
2223,1,900,4080,山線,區間
2224,0,4080,900,山線,區間
2226,0,3360,3300,山線,區間
223,1,7000,1040,不經山海線,普悠瑪
2233,1,7360,4080,山線,區間
2234,0,4080,900,山線,區間
2236,0,3360,3300,山線,區間
2237,1,1150,3340,山線,區間
224,0,1040,7000,不經山海線,自強
2243,1,7360,4080,山線,區間
2244,0,4080,930,山線,區間
2246,0,3360,3300,山線,區間
225,1,6180,1040,不經山海線,普悠瑪
2253,1,900,4080,山線,區間
2254,0,4080,900,山線,區間
2257,1,3220,4080,山線,區間
2260,0,3430,3360,不經山海線,區間
2263,1,900,4080,山線,區間
2264,0,4080,900,山線,區間
2267,1,3220,3390,山線,區間
2269,1,3160,3430,山線,區間
2270,0,3340,3300,山線,區間
2273,1,900,3360,山線,區間
2274,0,4080,1150,山線,區間
228,0,1040,6240,不經山海線,太魯閣
2284,0,4080,1210,山線,區間
229,1,6240,1040,不經山海線,太魯閣
2294,0,4080,3360,不經山海線,區間
232,0,1040,6220,不經山海線,普悠瑪
233,1,7000,1040,不經山海線,普悠瑪
234,0,1040,7000,不經山海線,太魯閣
235,1,7000,1040,不經山海線,自強
236,0,1040,7000,不經山海線,自強
237,1,7000,1040,不經山海線,普悠瑪
238,0,1040,7000,不經山海線,普悠瑪
239,1,7000,1040,不經山海線,太魯閣
240,0,1040,7000,不經山海線,太魯閣
241,1,7000,1040,不經山海線,自強
246,0,1040,7000,不經山海線,自強
247,1,7000,1040,不經山海線,普悠瑪
248,0,1040,7000,不經山海線,普悠瑪
249,1,7000,1040,不經山海線,自強
2501,1,2200,3360,海線,區間
2502,0,2200,1210,海線,區間
2503,1,1210,3360,海線,區間
2504,0,3360,1150,海線,區間
2507,1,1210,3360,海線,區間
251,1,7000,1040,不經山海線,自強
2511,1,1210,3360,海線,區間
2512,0,3360,1210,海線,區間
2513,1,1210,3360,海線,區間
2514,0,3360,1210,海線,區間
2517,1,1150,3360,海線,區間
2518,0,3420,1210,海線,區間
252,0,1040,6220,不經山海線,普悠瑪
2521,1,1210,3360,海線,區間
2522,0,3360,1150,海線,區間
