TrainNo,StationID,ArrivalHour,ArrivalMin,DepartureHour,DepartureMin,StopSequence
3161,4080,9,27,9,27,1
3161,4090,9,33,9,33,2
3161,4100,9,36,9,36,3
3161,4110,9,41,9,42,4
3161,4120,9,48,9,49,5
3161,4130,9,52,9,52,6
3161,4140,9,56,9,56,7
3161,4150,10,2,10,8,8
3161,4160,10,11,10,12,9
3161,4170,10,16,10,17,10
3161,4180,10,20,10,20,11
3161,4190,10,24,10,25,12
3161,4200,10,30,10,31,13
3161,4210,10,34,10,35,14
3161,4220,10,38,10,40,15
3161,4250,10,46,10,46,16
3161,4260,10,48,10,49,17
3161,4270,10,52,10,52,18
3161,4290,10,56,10,56,19
3161,4300,11,0,11,0,20
3161,4310,11,8,11,13,21
3161,4320,11,17,11,18,22
3161,4330,11,21,11,22,23
3161,4340,11,28,11,33,24
3161,4350,11,36,11,37,25
3161,4360,11,38,11,39,26
3161,4370,11,41,11,42,27
3161,4380,11,44,11,44,28
3161,4390,11,47,11,47,29
3161,4400,11,50,11,58,30
3161,4410,12,1,12,1,31
3161,4420,12,3,12,4,32
3161,4430,12,6,12,7,33
3161,4440,12,9,12,11,34
3161,4450,12,14,12,15,35
3161,4460,12,18,12,19,36
3161,4470,12,23,12,24,37
3161,5000,12,27,12,28,38
3161,5010,12,31,12,31,39
3161,5020,12,34,12,34,40
3161,5030,12,37,12,38,41
3161,5040,12,41,12,42,42
3161,5050,12,47,12,49,43
701,4340,6,26,6,26,1
701,4400,6,36,6,40,2
701,4440,6,47,6,48,3
701,4460,6,56,6,57,4
701,5000,7,4,7,6,5
701,5030,7,13,7,14,6
701,5050,7,21,7,24,7
701,5070,7,32,7,34,8
701,5090,7,42,7,45,9
701,5120,7,56,8,16,10
701,5190,9,1,9,3,11
701,5200,9,14,9,15,12
701,5210,9,26,9,29,13
701,5220,9,40,9,41,14
701,5230,9,53,9,55,15
701,5240,10,5,10,13,16
701,6000,10,20,10,20,17
3147,3220,5,30,5,30,1
3147,3230,5,36,5,37,2
3147,3240,5,40,5,40,3
3147,3250,5,43,5,44,4
3147,3260,5,46,5,47,5
3147,3270,5,49,5,49,6
3147,3280,5,51,5,52,7
3147,3290,5,55,5,55,8
3147,3300,5,58,6,0,9
3147,3310,6,2,6,3,10
3147,3320,6,5,6,6,11
3147,3330,6,9,6,10,12
3147,3340,6,11,6,12,13
3147,3350,6,15,6,16,14
3147,3360,6,22,6,25,15
3147,3370,6,31,6,32,16
3147,3380,6,36,6,36,17
3147,3390,6,40,6,41,18
3147,3400,6,44,6,45,19
3147,3410,6,48,6,49,20
3147,3420,6,53,6,54,21
3147,3430,6,59,7,0,22
3147,3450,7,6,7,7,23
3147,3460,7,11,7,12,24
3147,3470,7,16,7,18,25
3147,3480,7,24,7,25,26
3147,3490,7,28,7,29,27
3147,4050,7,33,7,34,28
3147,4060,7,38,7,39,29
3147,4070,7,44,7,45,30
3147,4080,7,48,7,50,31
3147,4090,7,55,7,55,32
3147,4100,7,58,7,58,33
3147,4110,8,3,8,4,34
3147,4120,8,10,8,12,35
3147,4130,8,15,8,15,36
3147,4140,8,19,8,19,37
3147,4150,8,24,8,25,38
3147,4160,8,27,8,28,39
3147,4170,8,33,8,40,40
3147,4180,8,44,8,44,41
