routeID,city,routeName,departureStopName,destinationStopName
TPE10132,Taipei,234,板橋,西門
TPE10142,Taipei,綠1,新店,臺北市政府
TPE10181,Taipei,205,中華科技大學,東園
TPE10221,Taipei,618,新莊,士林
TPE10231,Taipei,民權幹線,南港,臺北橋
TPE10232,Taipei,紅25,南港,捷運北門站
TPE10241,Taipei,藍36,汐止社后,捷運昆陽站
TPE10251,Taipei,南京幹線,南港高工,圓環
TPE10253,Taipei,21,捷運圓山站,捷運文德站
TPE10261,Taipei,紅33,葫蘆里,聯合醫院中興院區(西寧)
TPE10262,Taipei,2,台北海大,臺大醫院
TPE10263,Taipei,536,台北海大,大同之家
TPE10272,Taipei,303,捷運劍潭站,大坪尾
TPE10273,Taipei,303區,捷運劍潭站,平等里
TPE10277,Taipei,542,捷運圓山站,捷運中山國中站
TPE10278,Taipei,669,三重,市政府
TPE10282,Taipei,663,新莊,國父紀念館
TPE10283,Taipei,235,新莊,國父紀念館
TPE10291,Taipei,棕1,松山車站,松山機場
TPE10292,Taipei,藍10,民生社區,南港花園社區
TPE10293,Taipei,民生幹線,麥帥新城,圓環
TPE10326,Taipei,648,錦繡山莊,臺北車站
TPE10328,Taipei,643,錦繡山莊,復興北村
TPE10331,Taipei,647,大崎腳,捷運市政府站
TPE10332,Taipei,松江新生幹線,青潭,復興北村
TPE10333,Taipei,644,青潭,博愛路
TPE10334,Taipei,基隆路幹線,大崎腳,捷運市政府站
TPE10414,Taipei,261,蘆洲,市政府
TPE10415,Taipei,221,蘆洲,臺北車站
TPE10416,Taipei,232,蘆洲,捷運善導寺站
TPE10417,Taipei,忠孝幹線,蘆洲,松山車站
TPE10419,Taipei,232快,蘆洲,松山車站
TPE10421,Taipei,紅9,蘆洲,捷運劍潭站
TPE10422,Taipei,617,泰山,內湖
TPE10423,Taipei,622,泰山,捷運中山站(志仁高中)
TPE10431,Taipei,紅31,捷運大湖公園站,捷運民權西路站
TPE10432,Taipei,藍26,舊宗路,捷運市政府站
TPE10441,Taipei,508,泰山公有市場,大同之家
TPE10442,Taipei,508區,蘆洲,惇敘高工
TPE10443,Taipei,225,蘆洲,民生社區
TPE10452,Taipei,641,三重客運五股站,臺北車站
TPE10461,Taipei,645,舊莊,捷運石牌站
TPE10462,Taipei,645副,中華科技大學,捷運石牌站
TPE10471,Taipei,615,丹鳳,臺北車站
TPE10472,Taipei,111,新莊,陽明山
TPE10473,Taipei,306,蘆洲,凌雲五村
TPE10481,Taipei,265經中央路,土城,行政院
TPE10482,Taipei,265區,重慶國中,行政院
TPE10502,Taipei,299區,輔仁大學,臺北車站
TPE10711,Taipei,羅斯福路幹線,捷運動物園站,臺北車站
TPE10712,Taipei,251,東南科技大學,臺北車站
TPE10721,Taipei,藍28,景明街口,東園
TPE10722,Taipei,藍29,東園,聯合醫院中興院區
TPE10723,Taipei,1,萬華,松仁路
TPE10724,Taipei,907,萬華,崇義高中
TPE10725,Taipei,568,萬華,捷運麟光站
TPE10726,Taipei,18,萬華,捷運麟光站
TPE10733,Taipei,棕2,景美女中,萬芳社區
TPE10734,Taipei,景美-榮總(快),景美女中,榮總
TPE10735,Taipei,253,景美女中,臺北車站
TPE10736,Taipei,671,景美女中,臺北車站
TPE10741,Taipei,棕3,捷運動物園,萬芳社區
TPE10742,Taipei,棕6,捷運動物園站,捷運市政府站
TPE10743,Taipei,棕11,捷運動物園站,捷運公館站
TPE10744,Taipei,棕15,捷運動物園站,貓空纜車站
TPE10745,Taipei,237,捷運動物園站,捷運東門站
TPE10746,Taipei,252,石壁坑,臺北車站
TPE10747,Taipei,294,捷運動物園站,仁愛國中
